timestamp,/sys/class/thermal/thermal_zone0/temp,/sys/devices/system/cpu/cpu0/cpufreq/cpuinfo_cur_freq,/sys/devices/platform/cpu-throttle-alert/thermal_trip_event,/sys/class/thermal/thermal_zone1/temp,/sys/class/devfreq/17000000.gpu/cur_freq,/sys/devices/platform/gpu-throttle-alert/thermal_trip_event
2025-09-26T14:50:58+09:00,38781,1420800,0,34187,306000000,0
2025-09-26T14:51:08+09:00,38937,1420800,0,34218,306000000,0
2025-09-26T14:51:18+09:00,39187,1420800,0,34687,1300500000,0
2025-09-26T14:51:28+09:00,38968,1420800,0,34562,306000000,0
2025-09-26T14:51:38+09:00,39031,1420800,0,34437,306000000,0
2025-09-26T14:51:48+09:00,39250,1420800,0,34562,306000000,0
2025-09-26T14:51:58+09:00,42937,2201600,0,35687,306000000,0
2025-09-26T14:52:08+09:00,42875,2201600,0,35937,306000000,0
2025-09-26T14:52:18+09:00,43250,2201600,0,NA,306000000,0
2025-09-26T14:52:28+09:00,43468,2201600,0,36500,306000000,0
2025-09-26T14:52:38+09:00,43718,2201600,0,NA,306000000,0
2025-09-26T14:52:49+09:00,43812,2201600,0,NA,306000000,0
2025-09-26T14:52:59+09:00,43875,2201600,0,NA,306000000,0
2025-09-26T14:53:09+09:00,44343,2201600,0,NA,306000000,0
2025-09-26T14:53:19+09:00,44312,2201600,0,37812,306000000,0
2025-09-26T14:53:29+09:00,44312,2201600,0,NA,306000000,0
2025-09-26T14:53:39+09:00,44562,2201600,0,NA,306000000,0
2025-09-26T14:53:50+09:00,44750,2201600,0,37781,306000000,0
2025-09-26T14:54:00+09:00,44906,2201600,0,38093,306000000,0
2025-09-26T14:54:10+09:00,45000,2201600,0,NA,306000000,0
2025-09-26T14:54:20+09:00,45281,2201600,0,NA,306000000,0
2025-09-26T14:54:30+09:00,45250,2201600,0,NA,306000000,0
2025-09-26T14:54:40+09:00,45656,2201600,0,NA,1300500000,0
2025-09-26T14:54:50+09:00,45906,2201600,0,NA,306000000,0
2025-09-26T14:55:01+09:00,45687,2201600,0,NA,306000000,0
2025-09-26T14:55:11+09:00,46031,2201600,0,38875,306000000,0
2025-09-26T14:55:21+09:00,45906,2201600,0,NA,306000000,0
2025-09-26T14:55:31+09:00,46125,2201600,0,NA,306000000,0
2025-09-26T14:55:41+09:00,46218,2201600,0,39281,306000000,0
2025-09-26T14:55:51+09:00,46468,2201600,0,NA,306000000,0
2025-09-26T14:56:02+09:00,46531,2201600,0,NA,306000000,0
2025-09-26T14:56:12+09:00,46968,2201600,0,NA,306000000,0
2025-09-26T14:56:22+09:00,47093,2201600,0,NA,306000000,0
2025-09-26T14:56:32+09:00,46968,2201600,0,40468,1300500000,0
2025-09-26T14:56:42+09:00,47156,2201600,0,NA,306000000,0
2025-09-26T14:56:52+09:00,47125,2201600,0,NA,306000000,0
2025-09-26T14:57:03+09:00,47406,2201600,0,40531,306000000,0
2025-09-26T14:57:13+09:00,47687,2201600,0,40937,306000000,0
2025-09-26T14:57:23+09:00,47687,2201600,0,40843,306000000,0
2025-09-26T14:57:33+09:00,47625,2201600,0,40812,306000000,0
2025-09-26T14:57:43+09:00,48093,2201600,0,40937,306000000,0
2025-09-26T14:57:53+09:00,48000,2201600,0,41093,1300500000,0
2025-09-26T14:58:03+09:00,48187,2201600,0,NA,306000000,0
2025-09-26T14:58:14+09:00,48375,2201600,0,NA,306000000,0
2025-09-26T14:58:24+09:00,48500,2201600,0,41500,306000000,0
2025-09-26T14:58:34+09:00,48562,2201600,0,41625,306000000,0
2025-09-26T14:58:44+09:00,48531,2201600,0,NA,306000000,0
2025-09-26T14:58:54+09:00,48968,2201600,0,41875,306000000,0
2025-09-26T14:59:04+09:00,48875,2201600,0,NA,306000000,0
2025-09-26T14:59:14+09:00,48968,2201600,0,NA,306000000,0
2025-09-26T14:59:25+09:00,49062,2201600,0,NA,306000000,0
2025-09-26T14:59:35+09:00,49125,2201600,0,NA,306000000,0
2025-09-26T14:59:45+09:00,49656,2201600,0,42812,306000000,0
2025-09-26T14:59:55+09:00,49375,2201600,0,NA,306000000,0
2025-09-26T15:00:05+09:00,49687,2201600,0,42875,306000000,0
2025-09-26T15:00:15+09:00,49687,2201600,0,42750,306000000,0
2025-09-26T15:00:26+09:00,49875,2201600,0,NA,306000000,0
2025-09-26T15:00:36+09:00,50062,2201600,0,NA,306000000,0
